Date,Open,High,Low,Close,Adj_Close,Volume,Day 
2023-08-11,35.93,36.369999,35.93,36.290001,36.290001,9100,221
2023-08-14,36.099998,36.450001,35.939999,36.450001,36.450001,5900,222
2023-08-15,36.259998,36.59,36.23,36.509998,36.509998,8100,223
2023-08-16,36.439999,36.439999,35.84,35.84,35.84,4700,224
2023-08-17,35.860001,35.860001,35.099998,35.150002,35.150002,155300,225
2023-08-18,34.91,35.57,34.91,35.459999,35.459999,5200,226
2023-08-21,35.68,35.98,35.470001,35.91,35.91,7900,227
2023-08-22,35.919998,36.27,35.919998,36.259998,36.259998,9100,228
2023-08-23,36.610001,36.810001,36.57,36.580002,36.580002,10100,229
2023-08-24,36.689999,36.689999,35.709999,35.810001,35.810001,5600,230
2023-08-25,35.849998,36.189999,35.599998,36.189999,36.189999,5500,231
2023-08-28,36.310001,36.529999,36.169998,36.41,36.41,8900,232
2023-08-29,36.59,36.959999,36.59,36.849998,36.849998,9800,233
2023-08-30,36.799999,37.110001,36.799999,37.09,37.09,6600,234
2023-08-31,37.07,37.240002,36.990002,36.990002,36.990002,11200,235
2023-09-01,37.18,37.450001,37.18,37.43,37.43,8400,236
2023-09-05,37.220001,37.220001,36.59,36.610001,36.610001,10400,237
2023-09-06,36.57,36.970001,36.509998,36.919998,36.919998,9700,238
2023-09-07,36.669998,36.709999,36.490002,36.560001,36.560001,5000,239
2023-09-08,36.650002,36.77,36.41,36.52,36.52,3500,240
2023-09-11,36.630001,36.869999,36.57,36.810001,36.810001,8200,241
2023-09-12,36.740002,36.82,36.509998,36.529999,36.529999,11700,242
2023-09-13,36.57,36.740002,36.27,36.27,36.27,3500,243
2023-09-14,36.419998,36.419998,36.150002,36.200001,36.200001,7600,244
2023-09-15,36.09,36.09,35.66,35.709999,35.709999,6000,245
2023-09-18,35.610001,35.610001,34.959999,35.290001,35.290001,10700,246
2023-09-19,35.349998,35.349998,35.200001,35.27,35.27,4100,247
2023-09-20,35.34,35.34,34.549999,34.549999,34.549999,7400,248
2023-09-21,34.240002,34.240002,33.740002,33.919998,33.919998,9700,249
2023-09-22,33.990002,34.009998,33.439999,33.470001,33.470001,3500,250
2023-09-25,33.330002,33.330002,32.98,33.060001,33.060001,26300,251
2023-09-26,33.060001,33.5,33.060001,33.4189,33.4189,4081,252
